Índice;Release Date;Movie;Production Budget;Domestic Gross;Worldwide Gross
2780;10/19/1979;Meteor;$16.000.000;$8.400.000;$8.400.000
2781;3/7/1986;Highlander;$16.000.000;$5.900.000;$12.900.000
2782;11/18/2016;Bleed for This;$16.000.000;$5.083.906;$6.248.077
2783;5/3/2002;Hollywood Ending;$16.000.000;$4.839.383;$14.839.383
2784;9/15/2000;Duets;$16.000.000;$4.734.235;$6.615.452
2785;8/13/1999;Detroit Rock City;$16.000.000;$4.217.115;$5.825.314
2786;10/19/2007;Things We Lost in the Fire;$16.000.000;$3.287.315;$8.120.148
2787;11/14/2014;The Homesman;$16.000.000;$2.429.989;$3.442.853
2788;4/5/2013;Trance;$16.000.000;$2.322.593;$22.594.052
2789;5/16/2014;The Immigrant;$16.000.000;$2.013.456;$7.585.011
2790;8/15/1997;Steel;$16.000.000;$1.686.429;$1.686.429
2791;12/21/2005;The White Countess;$16.000.000;$1.669.971;$2.814.566
2792;7/25/2008;Bienvenue chez les Ch'tis;$16.000.000;$1.477.650;$247.474.497
2793;10/1/2014;Men, Women and Children;$16.000.000;$705.908;$1.705.908
2794;9/24/2010;Enter the Void;$16.000.000;$337.997;$1.467.278
2795;12/31/2008;Good;$16.000.000;$31.631;$31.631
2796;11/2/2012;Vamps;$16.000.000;$3.361;$94.812
2797;5/11/2010;Haeundae;$16.000.000;$0;$64.733.391
2798;3/9/2010;Hachiko: A Dog's Story;$16.000.000;$0;$47.707.417
2799;12/31/2013;Zulu;$16.000.000;$0;$1.844.228
2800;6/21/2002;Juwanna Mann;$15.600.000;$13.571.817;$13.771.817
2801;6/8/2007;La Môme;$15.500.000;$10.299.782;$88.611.837
2802;11/15/2002;Ararat;$15.500.000;$1.693.000;$1.693.000
2803;4/13/2007;Slow Burn;$15.500.000;$1.237.615;$1.237.615
2804;4/22/2005;Madison;$15.500.000;$517.262;$517.262
2805;2/26/2010;The Yellow Handkerchief;$15.500.000;$318.623;$318.623
2806;9/27/2002;Wasabi;$15.300.000;$81.525;$7.000.000
2807;3/31/2006;Slither;$15.250.000;$7.802.450;$12.930.343
2808;11/16/1990;Home Alone;$15.000.000;$285.761.243;$476.684.675
2809;12/5/1984;Beverly Hills Cop;$15.000.000;$234.760.478;$316.300.000
2810;5/16/1986;Top Gun;$15.000.000;$179.800.601;$356.800.601
2811;12/17/1982;Tootsie;$15.000.000;$177.200.000;$177.200.000
2812;11/25/1987;3 Men and a Baby;$15.000.000;$167.780.960;$167.780.960
2813;11/26/2010;The King’s Speech;$15.000.000;$138.797.449;$430.821.168
2814;9/15/1999;American Beauty;$15.000.000;$130.058.047;$356.258.047
2815;12/8/2000;Crouching Tiger, Hidden Dragon;$15.000.000;$128.067.808;$213.514.672
2816;12/9/1988;Twins;$15.000.000;$111.936.388;$216.600.000
2817;12/20/1996;Scream;$15.000.000;$103.046.663;$173.046.663
2818;8/11/2017;Annabelle: Creation;$15.000.000;$102.092.201;$301.636.590
2819;10/25/2013;Jackass Presents: Bad Grandpa;$15.000.000;$102.003.019;$160.903.019
2820;6/28/1978;Heaven Can Wait;$15.000.000;$98.800.000;$98.800.000
2821;12/18/1985;The Color Purple;$15.000.000;$93.589.701;$93.589.701
2822;11/28/2014;The Imitation Game;$15.000.000;$91.125.143;$227.773.686
2823;3/30/1988;Beetlejuice;$15.000.000;$73.326.666;$73.326.666
2824;11/18/1959;Ben,Hur;$15.000.000;$73.000.000;$73.000.000
2825;1/18/2013;Mama;$15.000.000;$71.628.180;$148.095.566
2826;10/10/1980;Private Benjamin;$15.000.000;$69.847.348;$69.847.348
2827;3/7/1980;Coal Miner's Daughter;$15.000.000;$67.182.787;$67.182.787
2828;3/6/1987;Lethal Weapon;$15.000.000;$65.192.350;$120.192.350
2829;3/19/2010;Diary of a Wimpy Kid;$15.000.000;$64.003.625;$76.954.311
2830;7/29/1983;National Lampoon’s Vacation;$15.000.000;$61.400.000;$61.400.000
2831;8/31/2007;Halloween;$15.000.000;$58.269.151;$77.514.401
2832;9/30/2006;The Queen;$15.000.000;$56.441.711;$128.885.873
2833;10/12/2007;Why Did I Get Married?;$15.000.000;$55.204.525;$55.934.178
2834;2/3/2012;The Woman in Black;$15.000.000;$54.333.290;$128.955.898
2835;12/21/1994;Little Women;$15.000.000;$50.003.303;$50.003.303
2836;1/1/1979;The Deer Hunter;$15.000.000;$50.000.000;$50.000.000
2837;2/3/2006;When a Stranger Calls;$15.000.000;$47.860.214;$67.215.435
2838;2/8/2002;Big Fat Liar;$15.000.000;$47.811.275;$52.461.017
2839;8/15/1997;Cop Land;$15.000.000;$44.906.632;$63.706.632
2840;12/25/1997;Wag the Dog;$15.000.000;$43.057.470;$64.252.038
2841;2/22/2013;Snitch;$15.000.000;$42.930.462;$57.907.734
2842;5/2/2003;The Lizzie McGuire Movie;$15.000.000;$42.734.455;$55.534.455
2843;12/4/2015;Krampus;$15.000.000;$42.725.475;$61.788.393
2844;9/21/2012;End of Watch;$15.000.000;$41.003.371;$57.586.606
2845;12/25/1998;The Faculty;$15.000.000;$40.283.321;$40.283.321
2846;6/9/1993;What's Love Got to Do With It;$15.000.000;$39.100.956;$39.100.956
2847;12/14/2001;Not Another Teen Movie;$15.000.000;$37.882.551;$62.401.343
2848;12/3/2014;Wild;$15.000.000;$37.880.356;$52.501.541
2849;12/16/1962;Lawrence of Arabia;$15.000.000;$37.495.385;$69.995.385
2850;11/7/2014;The Theory of Everything;$15.000.000;$35.893.537;$123.327.692
2851;9/16/2011;Drive;$15.000.000;$35.060.689;$78.054.825
2852;3/31/2000;The Skulls;$15.000.000;$35.007.180;$35.007.180
2853;10/10/1966;Hawaii;$15.000.000;$34.562.222;$34.562.222
2854;4/18/2003;Malibu's Most Wanted;$15.000.000;$34.308.901;$34.499.204
2855;9/4/2009;All About Steve;$15.000.000;$33.862.903;$40.127.259
2856;4/28/2000;Where the Heart Is;$15.000.000;$33.771.174;$40.862.054
2857;8/28/2009;Halloween 2;$15.000.000;$33.392.973;$38.512.850
2858;3/13/2009;The Last House on the Left;$15.000.000;$32.752.215;$46.526.243
2859;2/18/2005;Because of Winn,Dixie;$15.000.000;$32.647.042;$33.508.485
2860;2/4/2005;The Wedding Date;$15.000.000;$31.726.995;$47.175.038
2861;9/25/1987;The Princess Bride;$15.000.000;$30.857.000;$30.858.487
2862;7/12/2002;Halloween: Resurrection;$15.000.000;$30.259.652;$37.659.652
2863;12/25/2007;The Great Debaters;$15.000.000;$30.226.144;$30.261.293
2864;8/22/2014;When the Game Stands Tall;$15.000.000;$30.127.963;$30.138.912
2865;6/12/1981;Clash of the Titans;$15.000.000;$30.000.000;$44.400.000
2866;2/20/2004;Confessions of a Teenage Drama Queen;$15.000.000;$29.331.068;$33.118.854
2867;4/17/1998;The Object of my Affection;$15.000.000;$29.145.924;$29.145.924
2868;5/11/2007;28 Weeks Later;$15.000.000;$28.638.916;$64.232.714
2869;4/11/1997;Grosse Pointe Blank;$15.000.000;$28.084.357;$31.070.412
2870;4/21/2000;Love and Basketball;$15.000.000;$27.441.122;$27.709.625
2871;9/8/2017;Home Again;$15.000.000;$26.998.410;$33.522.184
2872;10/27/2000;Book of Shadows: Blair Witch 2;$15.000.000;$26.421.314;$47.721.314
2873;10/10/1997;Boogie Nights;$15.000.000;$26.410.771;$43.111.725
2874;7/23/2010;Ramona and Beezus;$15.000.000;$26.167.002;$27.469.621
2875;8/27/2014;The November Man;$15.000.000;$25.018.119;$34.820.335
2876;5/3/1996;The Craft;$15.000.000;$24.769.466;$55.669.466
2877;12/28/2005;Match Point;$15.000.000;$23.089.926;$87.973.835
2878;11/5/1993;The Remains of the Day;$15.000.000;$22.954.968;$63.954.968
2879;1/15/1993;Nowhere to Run;$15.000.000;$22.189.039;$52.189.039
2880;9/22/2000;Urban Legends: Final Cut;$15.000.000;$21.468.807;$38.574.362
2881;3/29/2013;The Place Beyond the Pines;$15.000.000;$21.403.519;$47.011.449
2882;10/20/2006;Flicka;$15.000.000;$21.000.147;$21.896.367
2883;3/23/2007;The Hills Have Eyes II;$15.000.000;$20.804.166;$37.466.538
2884;4/29/2016;Keanu;$15.000.000;$20.591.853;$20.609.977
2885;12/22/2010;Country Strong;$15.000.000;$20.218.921;$20.601.987
2886;10/11/2002;Tuck Everlasting;$15.000.000;$19.161.999;$19.344.615
2887;10/13/2006;The Marine;$15.000.000;$18.844.784;$22.165.608
2888;7/24/1998;Disturbing Behavior;$15.000.000;$17.507.368;$19.014.238
2889;3/6/1998;The Big Lebowski;$15.000.000;$17.498.804;$46.189.568
2890;7/25/2014;A Most Wanted Man;$15.000.000;$17.237.855;$36.068.890
2891;6/26/2009;The Hurt Locker;$15.000.000;$17.017.811;$49.894.223
2892;1/28/2000;Eye of the Beholder;$15.000.000;$16.500.786;$18.260.865
2893;11/2/2012;The Man with the Iron Fists;$15.000.000;$15.634.090;$22.018.988
2894;5/11/1984;Firestarter;$15.000.000;$15.136.870;$15.136.870
2895;11/30/2012;Killing Them Softly;$15.000.000;$14.945.541;$39.238.443
2896;4/20/2001;Freddy Got Fingered;$15.000.000;$14.249.005;$14.249.005
2897;8/19/2011;One Day;$15.000.000;$13.843.771;$59.168.692
2898;6/25/2004;De,Lovely;$15.000.000;$13.337.299;$18.524.496
2899;10/2/2009;Whip It;$15.000.000;$13.043.363;$18.856.151
2900;1/11/2008;The Pirates Who Don't Do Anything: A VeggieTales Movie;$15.000.000;$12.981.269;$13.248.444
2901;1/23/2008;U2 3D;$15.000.000;$12.898.847;$26.170.402
2902;9/1/2000;Highlander: Endgame;$15.000.000;$12.801.190;$12.801.190
2903;1/20/2017;The Founder;$15.000.000;$12.786.243;$18.301.418
2904;8/25/2006;Idlewild;$15.000.000;$12.669.914;$12.669.914
2905;4/25/2003;Confidence;$15.000.000;$12.212.417;$12.212.417
2906;10/11/2002;Knockaround Guys;$15.000.000;$11.660.180;$12.419.700
2907;8/27/1999;The Muse;$15.000.000;$11.614.954;$11.614.954
2908;4/3/1998;Barney's Great Adventure;$15.000.000;$11.156.471;$11.156.471
2909;3/1/1989;New York Stories;$15.000.000;$10.763.469;$10.763.469
2910;11/25/1998;Home Fries;$15.000.000;$10.513.979;$10.513.979
2911;3/24/2000;Here on Earth;$15.000.000;$10.494.147;$10.845.127
2912;10/8/2004;Raise Your Voice;$15.000.000;$10.411.980;$14.811.980
2913;12/18/1985;Brazil;$15.000.000;$9.929.135;$9.930.649
2914;4/23/1993;The Dark Half;$15.000.000;$9.579.068;$9.579.068
2915;3/2/2007;Black Snake Moan;$15.000.000;$9.396.870;$10.951.153
2916;2/21/2003;Dark Blue;$15.000.000;$9.237.470;$12.262.065
2917;5/10/2013;Peeples;$15.000.000;$9.177.065;$9.307.166
2918;6/22/2007;A Mighty Heart;$15.000.000;$9.176.787;$19.153.568
2919;9/30/1983;Brainstorm;$15.000.000;$8.921.050;$8.921.050
2920;3/24/2000;Whatever it Takes;$15.000.000;$8.735.529;$8.735.529
2921;3/21/2003;Boat Trip;$15.000.000;$8.586.376;$14.933.713
2922;5/22/2002;The Importance of Being Earnest;$15.000.000;$8.378.141;$8.378.141
2923;5/21/1999;The Love Letter;$15.000.000;$8.322.608;$8.322.608
2924;5/5/2006;Hoot;$15.000.000;$8.117.637;$8.224.998
2925;2/8/2008;In Bruges;$15.000.000;$7.800.825;$34.533.783
2926;1/4/2013;Promised Land;$15.000.000;$7.597.898;$12.394.562
2927;10/8/2001;Mulholland Drive;$15.000.000;$7.219.578;$11.919.578
2928;8/20/2008;The Rocker;$15.000.000;$6.409.528;$8.767.338
2929;8/21/2009;Post Grad;$15.000.000;$6.380.019;$6.561.243
2930;6/19/2009;Whatever Works;$15.000.000;$5.306.706;$35.106.706
2931;7/19/2000;The In Crowd;$15.000.000;$5.217.498;$5.217.498
2932;12/14/2005;Los tres entierros de Melquiades Estrada;$15.000.000;$5.027.684;$13.454.474
2933;9/24/1999;Jakob the Liar;$15.000.000;$4.956.401;$4.956.401
2934;9/28/2007;Se jie;$15.000.000;$4.604.982;$65.261.291
2935;10/21/2005;Kiss Kiss, Bang Bang;$15.000.000;$4.235.837;$16.829.464
2936;4/30/1999;Idle Hands;$15.000.000;$4.023.741;$4.023.741
2937;10/30/2015;Scouts Guide to the Zombie Apocalypse;$15.000.000;$3.703.046;$15.554.855
2938;1/26/2007;Blood and Chocolate;$15.000.000;$3.526.588;$6.551.310
2939;9/22/2010;You Will Meet a Tall Dark Stranger;$15.000.000;$3.247.816;$34.247.816
2940;9/15/2010;Never Let Me Go;$15.000.000;$2.434.652;$11.173.718
2941;12/25/2003;The Company;$15.000.000;$2.281.585;$3.396.508
2942;7/18/2008;Transsiberian;$15.000.000;$2.203.641;$6.379.575
2943;10/22/1999;Crazy in Alabama;$15.000.000;$1.954.202;$1.954.202
2944;1/17/1986;The Clan of the Cave Bear;$15.000.000;$1.953.732;$1.953.732
2945;3/14/2008;Funny Games;$15.000.000;$1.294.640;$8.200.127
2946;6/2/2006;Banlieue 13;$15.000.000;$1.200.216;$11.599.903
2947;11/12/1999;Felicia's Journey;$15.000.000;$824.295;$1.970.268
2948;1/25/2002;Metropolis;$15.000.000;$673.414;$1.405.032
2949;10/16/2015;Nie yin niang;$15.000.000;$632.542;$6.832.542
2950;12/1/1995;Things to Do in Denver when You're Dead;$15.000.000;$529.766;$529.766
2951;4/26/2013;The Reluctant Fundamentalist;$15.000.000;$528.731;$528.731
2952;2/6/2004;The Return;$15.000.000;$501.752;$5.953.886
2953;7/25/2003;Buffalo Soldiers;$15.000.000;$353.743;$353.743
2954;4/25/2003;Steal (Canadian Release);$15.000.000;$220.944;$220.944
2955;8/27/2010;Centurion;$15.000.000;$123.570;$7.885.048
2956;10/23/2009;Ong,Bak 2;$15.000.000;$102.458;$7.583.050
2957;12/31/1996;Silent Trigger;$15.000.000;$76.382;$76.382
2958;8/1/2008;Midnight Meat Train;$15.000.000;$73.548;$1.590.246
2959;9/6/2013;Winnie Mandela;$15.000.000;$61.847;$61.847
2960;11/4/2011;The Son of No One;$15.000.000;$30.680;$1.148.578
2961;10/25/2002;All the Queen's Men;$15.000.000;$22.723;$22.723
2962;10/5/2007;The Good Night;$15.000.000;$22.441;$22.441
2963;12/6/2013;Khumba;$15.000.000;$0;$20.898.221
2964;5/5/2015;A Few Best Men;$15.000.000;$0;$17.224.539
2965;10/10/2014;Automata;$15.000.000;$0;$6.775.458
2966;12/31/2015;Chiamatemi Francesco , Il papa della gente;$15.000.000;$0;$3.454.036
2967;12/31/2008;Bathory;$15.000.000;$0;$3.436.763
2968;12/31/2005;Dungeons & Dragons: Wrath of the Dragon God;$15.000.000;$0;$909.822
2969;2/17/2017;In Dubious Battle;$15.000.000;$0;$214.182
2970;9/1/2015;Broken Horses;$15.000.000;$0;$3.471
2971;6/29/2001;Pandaemonium;$15.000.000;$0;$0
2972;2/5/2010;Shinjuku Incident;$15.000.000;$0;$0
2973;8/10/2018;The Meg;$15.000.000;$0;$0
2974;2/12/1993;Groundhog Day;$14.600.000;$70.906.973;$70.906.973
2975;7/1/2015;Magic Mike XXL;$14.500.000;$66.013.057;$123.709.460
2976;11/1/1996;Romeo+Juliet;$14.500.000;$46.338.728;$147.542.381
2977;7/22/2011;Elle s'appelait Sarah;$14.500.000;$7.691.700;$25.480.031
2978;6/5/2015;Freedom;$14.500.000;$0;$812.783
2979;8/7/1992;Unforgiven;$14.400.000;$101.157.447;$159.157.447
2980;1/27/2006;Manderlay;$14.200.000;$74.205;$543.306
2981;3/23/1990;Pretty Woman;$14.000.000;$178.406.268;$432.645.872
2982;9/18/1987;Fatal Attraction;$14.000.000;$156.645.693;$320.100.000
2983;11/12/2008;Slumdog Millionaire;$14.000.000;$141.319.928;$384.519.665
2984;12/17/1974;Towering Inferno;$14.000.000;$116.000.000;$139.700.000
2985;5/25/1988;Crocodile Dundee 2;$14.000.000;$109.306.210;$239.606.210
2986;12/20/1989;Born on the Fourth of July;$14.000.000;$70.001.698;$70.001.698
2987;10/1/1993;Cool Runnings;$14.000.000;$68.856.263;$155.056.263
2988;1/12/2007;Stomp the Yard;$14.000.000;$61.356.221;$75.525.718
2989;1/16/2009;My Bloody Valentine;$14.000.000;$51.545.952;$102.836.002
2990;8/31/2012;The Possession;$14.000.000;$49.130.588;$82.925.064
2991;10/22/1982;First Blood;$14.000.000;$47.212.904;$125.212.904
2992;7/13/1977;The Spy Who Loved Me;$14.000.000;$46.800.000;$185.400.000
2993;9/25/1998;Urban Legend;$14.000.000;$38.116.707;$72.571.864
2994;12/9/1981;Taps;$14.000.000;$35.856.053;$35.856.053
2995;2/24/2012;Tyler Perry's Good Deeds;$14.000.000;$35.025.791;$35.579.177
2996;1/18/1991;White Fang;$14.000.000;$34.729.091;$34.729.091
2997;12/21/1988;Dangerous Liaisons;$14.000.000;$34.700.000;$34.700.000
2998;10/8/1999;Superstar;$14.000.000;$30.628.981;$30.628.981
2999;1/13/2012;The Iron Lady;$14.000.000;$29.959.436;$115.592.104
3000;7/23/1993;Poetic Justice;$14.000.000;$27.450.453;$27.450.453
3001;10/4/2002;Jonah: A VeggieTales Movie;$14.000.000;$25.571.351;$25.608.779
3002;3/8/2002;All About the Benjamins;$14.000.000;$25.482.931;$25.873.145
3003;6/17/1977;Exorcist II: The Heretic;$14.000.000;$25.011.000;$25.011.000
3004;3/12/2010;Our Family Wedding;$14.000.000;$20.255.281;$21.410.546
3005;10/27/1995;Vampire in Brooklyn;$14.000.000;$19.637.147;$19.637.147
3006;5/5/2006;An American Haunting;$14.000.000;$16.298.046;$30.443.277
3007;8/22/2003;My Boss's Daughter;$14.000.000;$15.549.702;$15.549.702
3008;8/7/2009;A Perfect Getaway;$14.000.000;$15.515.460;$22.815.460
3009;10/25/1996;Thinner;$14.000.000;$15.171.475;$15.171.475
3010;8/21/1998;Dead Man on Campus;$14.000.000;$15.064.948;$15.064.948
3011;5/14/1999;Tea with Mussolini;$14.000.000;$14.395.874;$14.395.874
3012;6/22/1977;New York, New York;$14.000.000;$13.800.000;$13.800.000
3013;4/26/2002;Jason X;$14.000.000;$13.121.555;$16.951.798
3014;5/13/1994;Crooklyn;$14.000.000;$13.024.170;$13.024.170
3015;3/16/2007;I Think I Love My Wife;$14.000.000;$12.559.771;$13.205.411
3016;2/20/2015;Hot Tub Time Machine 2;$14.000.000;$12.314.651;$12.452.601
3017;11/17/2006;Bobby;$14.000.000;$11.242.801;$20.597.806
3018;2/2/2001;Head Over Heels;$14.000.000;$10.397.365;$10.397.365
3019;10/26/2012;Fun Size;$14.000.000;$9.409.538;$11.166.615
3020;4/23/1999;Lost and Found;$14.000.000;$6.552.255;$6.552.255
3021;11/30/2007;Le Scaphandre et le Papillon;$14.000.000;$5.990.075;$22.754.472
3022;10/6/2006;Little Children;$14.000.000;$5.463.019;$14.121.177
3023;4/21/2000;Gossip;$14.000.000;$5.108.820;$12.591.270
3024;3/26/1999;A Walk on the Moon;$14.000.000;$4.741.987;$4.741.987
3025;10/23/2015;Suffragette;$14.000.000;$4.702.420;$34.044.909
3026;10/27/2006;Catch a Fire;$14.000.000;$4.299.773;$5.782.198
3027;12/19/2014;Mr. Turner;$14.000.000;$3.958.546;$25.187.026
3028;9/7/2001;Soul Survivors;$14.000.000;$3.100.650;$4.288.246
3029;5/22/2009;Easy Virtue;$14.000.000;$2.656.784;$20.537.741
3030;3/31/1995;Jefferson in Paris;$14.000.000;$2.461.628;$2.461.628
3031;8/6/2010;Flipped;$14.000.000;$1.755.212;$4.289.993
3032;1/1/1978;Caravans;$14.000.000;$1.000.000;$1.000.000
3033;6/25/2010;Les herbes folles;$14.000.000;$403.952;$1.903.952
3034;1/24/2003;Amen;$14.000.000;$274.299;$274.299
3035;9/26/2008;The Lucky Ones;$14.000.000;$266.967;$266.967
3036;9/30/2011;Margaret;$14.000.000;$47.185;$623.292
3037;11/1/2016;Reign of Assassins;$14.000.000;$0;$11.354.230
3038;10/27/2009;Stan Helsing: A Parody;$14.000.000;$0;$1.553.556
3039;12/9/2005;Brokeback Mountain;$13.900.000;$83.043.761;$177.012.173
3040;7/1/1995;Clueless;$13.700.000;$56.598.476;$56.598.476
3041;12/31/2008;Ca$h;$13.700.000;$0;$11.738.256
3042;3/30/1990;Teenage Mutant Ninja Turtles;$13.500.000;$135.265.915;$202.000.000
3043;10/5/1956;The Ten Commandments;$13.500.000;$80.000.000;$80.000.000
3044;11/8/2002;Far From Heaven;$13.500.000;$15.901.849;$29.027.914
3045;10/12/2012;Seven Psychopaths;$13.500.000;$15.024.049;$33.035.736
3046;11/22/2000;Quills;$13.500.000;$7.060.876;$11.732.088
3047;1/29/1982;The Border;$13.500.000;$6.118.683;$6.118.683
3048;2/18/2005;Der Untergang;$13.500.000;$5.501.940;$93.631.744
3049;3/2/2001;The Caveman's Valentine;$13.500.000;$687.081;$892.506
3050;4/1/2011;The Last Godfather;$13.400.000;$164.247;$164.247
3051;4/4/2014;Under the Skin;$13.300.000;$2.614.251;$7.229.933
3052;12/17/2004;Mar adentro;$13.300.000;$2.086.345;$39.686.345
3053;9/12/2014;No Good Deed;$13.200.000;$52.543.632;$54.323.210
3054;12/23/1987;Good Morning Vietnam;$13.000.000;$123.922.370;$123.922.370
3055;12/3/2010;Black Swan;$13.000.000;$106.954.678;$331.266.710
3056;1/12/2001;Save the Last Dance;$13.000.000;$91.038.276;$122.244.329
3057;2/11/2011;Justin Bieber: Never Say Never;$13.000.000;$73.013.910;$99.034.125
3058;3/16/2016;Miracles from Heaven;$13.000.000;$61.705.123;$73.798.720
3059;2/11/2000;Snow Day;$13.000.000;$60.008.303;$62.452.927
3060;1/23/2004;The Butterfly Effect;$13.000.000;$57.924.679;$95.638.592
3061;12/11/1974;The Godfather: Part II;$13.000.000;$57.300.000;$57.300.000
3062;6/24/2016;The Shallows;$13.000.000;$55.121.623;$118.888.025
3063;7/17/1987;RoboCop;$13.000.000;$53.424.681;$53.424.681
3064;8/19/1988;A Nightmare on Elm Street 4: The Dream Master;$13.000.000;$49.369.899;$49.369.899
3065;11/21/2007;This Christmas;$13.000.000;$49.121.934;$49.733.545
3066;2/14/2014;About Last Night;$13.000.000;$48.637.684;$50.445.860
3067;12/15/2000;Dude, Where's My Car?;$13.000.000;$46.729.374;$73.180.297
3068;8/12/1988;Young Guns;$13.000.000;$44.726.644;$44.726.644
3069;10/10/2014;St. Vincent;$13.000.000;$44.137.712;$54.837.234
3070;7/2/2014;Earth to Echo;$13.000.000;$38.934.842;$42.174.545
3071;3/31/1999;10 Things I Hate About You;$13.000.000;$38.177.966;$60.414.025
3072;5/10/2002;The New Guy;$13.000.000;$28.972.187;$28.972.187
3073;2/5/1993;Loaded Weapon 1;$13.000.000;$27.979.399;$27.979.399
3074;3/12/1999;Baby Geniuses;$13.000.000;$27.151.490;$27.151.490
3075;4/24/1998;The Big Hit;$13.000.000;$27.066.941;$27.066.941
3076;11/9/1990;Child's Play 2;$13.000.000;$26.904.572;$34.166.572
3077;7/10/1996;Harriet the Spy;$13.000.000;$26.570.048;$26.570.048
3078;3/1/2013;21 and Over;$13.000.000;$25.682.380;$42.195.766
3079;11/21/2007;The Mist;$13.000.000;$25.593.755;$57.189.408
3080;4/10/2015;Ex Machina;$13.000.000;$25.440.971;$38.976.797
3081;10/29/1999;Being John Malkovich;$13.000.000;$22.858.926;$32.382.381
3082;9/7/2001;Two Can Play That Game;$13.000.000;$22.235.901;$22.391.450
3083;3/11/2016;Eye in the Sky;$13.000.000;$18.704.596;$34.916.128
3084;3/22/2013;Admission;$13.000.000;$18.007.317;$18.733.666
3085;9/21/2012;The Perks of Being a Wallflower;$13.000.000;$17.742.948;$33.069.303
3086;6/29/2001;crazy/beautiful;$13.000.000;$16.929.123;$19.929.123
3087;8/28/1998;54;$13.000.000;$16.757.163;$16.757.163
3088;10/16/2015;Room;$13.000.000;$14.677.674;$36.262.783
3089;12/20/2006;Letters from Iwo Jima;$13.000.000;$13.756.082;$67.867.998
3090;5/29/2009;Män som hatar kvinnor;$13.000.000;$12.749.992;$109.421.911
3091;2/23/2007;The Astronaut Farmer;$13.000.000;$11.003.643;$11.141.213
3092;6/12/1998;Dirty Work;$13.000.000;$10.020.081;$10.020.081
3093;5/8/1998;Woo;$13.000.000;$8.064.972;$8.064.972
3094;4/13/1994;Serial Mom;$13.000.000;$7.881.335;$7.881.335
3095;8/4/1999;Dick;$13.000.000;$6.276.869;$6.276.869
3096;11/10/1999;Light It Up;$13.000.000;$5.871.603;$5.871.603
3097;8/24/2001;Bubble Boy;$13.000.000;$5.002.310;$5.002.310
3098;2/1/2002;Birthday Girl;$13.000.000;$4.919.896;$8.130.727
3099;5/4/2007;Paris, je t'aime;$13.000.000;$4.857.374;$5.175.088
3100;8/24/2007;Resurrecting the Champ;$13.000.000;$3.172.382;$3.260.555
3101;3/26/2010;Chloe;$13.000.000;$3.075.255;$11.831.131
3102;3/2/2001;The Widow of St. Pierre;$13.000.000;$3.058.380;$3.058.380
3103;4/5/1996;Faithful;$13.000.000;$2.104.439;$2.104.439
3104;2/26/2010;Un Prophète;$13.000.000;$2.087.720;$19.910.624
3105;12/3/2010;I Love You, Phillip Morris;$13.000.000;$2.037.459;$23.014.027
3106;7/24/2015;The Vatican Tapes;$13.000.000;$1.784.763;$14.999.638
3107;3/17/2006;Find Me Guilty;$13.000.000;$1.173.673;$2.898.225
3108;5/14/1993;Excessive Force;$13.000.000;$1.152.117;$1.152.117
3109;10/13/2006;Infamous;$13.000.000;$1.151.330;$2.613.717
3110;7/29/2011;Attack the Block;$13.000.000;$1.024.175;$6.459.183
3111;8/14/2015;Brothers;$13.000.000;$656.688;$17.856.688
3112;12/29/2000;The Claim;$13.000.000;$622.023;$1.375.635
3113;12/23/2011;In The Land of Blood and Honey;$13.000.000;$303.877;$509.193
3114;6/18/2010;The Killer Inside Me;$13.000.000;$217.277;$3.617.277
3115;3/30/2012;Womb;$13.000.000;$0;$0
3116;3/15/2013;The Call;$12.800.000;$51.872.378;$69.821.476
3117;8/5/2016;Operation Chromite;$12.700.000;$1.022.720;$49.196.532
3118;9/12/2014;The Drop;$12.600.000;$10.724.389;$19.054.534
3119;7/12/2002;Crocodile Hunter: Collision Course;$12.500.000;$28.436.931;$33.436.931
3120;9/3/2010;Machete;$12.500.000;$26.593.646;$46.370.970
3121;12/19/2002;Antwone Fisher;$12.500.000;$21.078.145;$23.367.586
3122;2/12/1982;La Guerre du feu;$12.500.000;$20.959.585;$20.959.585
3123;11/22/2002;The Emperor's Club;$12.500.000;$14.060.950;$16.193.713
3124;9/10/1993;True Romance;$12.500.000;$12.281.000;$12.309.980
3125;9/11/2009;Sorority Row;$12.500.000;$11.965.282;$26.735.797
3126;9/30/1992;Glengarry Glen Ross;$12.500.000;$10.725.228;$10.725.228
3127;11/7/2008;The Boy in the Striped Pyjamas;$12.500.000;$9.046.156;$44.083.403
3128;4/2/1982;Cat People;$12.500.000;$7.000.000;$21.000.000
3129;5/25/1979;The Prisoner of Zenda;$12.500.000;$7.000.000;$7.000.000
3130;10/15/2010;Conviction;$12.500.000;$6.797.696;$11.826.980
3131;10/12/2007;Lars and the Real Girl;$12.500.000;$5.956.480;$11.277.119
3132;5/21/2010;Solitary Man;$12.500.000;$4.360.548;$4.360.548
3133;9/22/2000;Dancer in the Dark;$12.500.000;$4.157.491;$45.557.491
3134;12/17/2010;Casino Jack;$12.500.000;$2.039.869;$2.272.186
3135;12/31/1997;Oscar and Lucinda;$12.500.000;$1.612.957;$1.612.957
3136;11/1/1996;The Funeral;$12.500.000;$1.212.799;$1.412.799
3137;9/3/2004;Tae Guik Gi: The Brotherhood of War;$12.500.000;$1.110.186;$69.826.708
3138;4/16/2010;The Perfect Game;$12.500.000;$1.089.445;$3.931.367
